STOCK,PRICE,TIME
TTD,461.72,2020-07-09 19:03:45.758783
PLUG,8.76,2020-07-09 19:03:46.542142
DOCU,212.89,2020-07-09 19:03:47.414158
AMZN,3128.13,2020-07-09 19:03:48.260015
AVLR,138.78,2020-07-09 19:03:49.028376
OSTK,44.76,2020-07-09 19:06:51.944351
ZM,271.12,2020-07-09 19:06:53.345758
TSLA,1377.36,2020-07-09 19:06:54.279699
CLDR,12.21,2020-07-09 19:06:55.017574
FREQ,22.53,2020-07-09 19:06:55.838216
FSLY,101.88,2020-07-09 19:06:56.640255
TTD,462.0,2020-07-09 19:06:57.460517
PLUG,8.77,2020-07-09 19:06:58.190665
DOCU,213.06,2020-07-09 19:06:58.995034
AMZN,3129.69,2020-07-09 19:06:59.985717
AVLR,138.82,2020-07-09 19:07:00.731776
OSTK,45.18,2020-07-10 10:36:20.730423
ZM,269.52,2020-07-10 10:36:21.516958
TSLA,1394.28,2020-07-10 10:36:27.376745
CLDR,12.28,2020-07-10 10:36:28.237737
FREQ,22.96,2020-07-10 10:36:29.220628
FSLY,102.72,2020-07-10 10:36:30.084699
TTD,463.0,2020-07-10 10:36:31.058434
PLUG,8.95,2020-07-10 10:36:31.916913
DOCU,212.42,2020-07-10 10:36:32.846847
OSTK,45.18,2020-07-10 10:36:58.176093
ZM,269.52,2020-07-10 10:36:58.987719
TSLA,1394.28,2020-07-10 10:36:59.650517
CLDR,12.28,2020-07-10 10:37:00.404057
FREQ,22.96,2020-07-10 10:37:01.067007
FSLY,102.72,2020-07-10 10:37:01.864774
TTD,463.0,2020-07-10 10:37:02.771897
PLUG,8.95,2020-07-10 10:37:03.578051
DOCU,212.42,2020-07-10 10:37:04.389698
AMZN,3182.63,2020-07-10 10:37:05.530768
AVLR,140.37,2020-07-10 10:37:06.424010
COUP,312.22,2020-07-10 10:37:07.261522
MSCI,375.14,2020-07-10 10:37:08.082774
ACAD,56.07,2020-07-10 10:37:08.972968
TDOC,228.43,2020-07-10 10:37:09.753304
OSTK,45.18,2020-07-10 10:37:48.679686
ZM,269.52,2020-07-10 10:37:49.488751
TSLA,1394.28,2020-07-10 10:37:50.475973
CLDR,12.28,2020-07-10 10:37:51.174989
